sample,category,subcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
Rhyolite,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",72.82,0.28,13.27,1.48,1.11,0.06,0.39,1.14,3.55,4.30,0.07,0.08
Granite,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",71.30,0.31,14.32,1.21,1.64,0.05,0.71,1.84,3.68,4.07,0.12,0.05
Trachyte,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",61.21,0.70,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,0.09
Syenite,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",58.58,0.84,16.64,3.04,3.13,0.13,1.87,3.53,5.24,4.95,0.29,0.28
Nepheline_syenite,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",53.56,0.73,20.22,3.45,2.41,0.20,0.76,2.37,8.43,5.68,0.24,0.42
Phonolite,composite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",56.77,0.59,19.76,2.48,1.63,0.18,0.51,2.32,8.41,5.25,0.16,0.61
NASC,composite,shale_composite,"McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984",64.80,0.70,16.90,1.06,5.48,0.06,2.86,3.63,1.14,3.97,0.13,
PAAS,composite,shale_composite,"Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 2009; Nance and Taylor, 1976; McLennan, 1981, 1989",62.80,1.00,18.90,0.87,6.61,0.11,2.20,1.30,1.20,3.70,0.16,
average glacial diamictites,composite,shale_composite,"McLennan et al., 1983",70.40,0.70,14.60,1.10,4.63,0.10,2.00,1.40,1.60,3.60,0.20,
Amazon,composite,suspended_sediment,"McLennan, 1993",60.20,1.23,22.90,0.52,7.14,0.14,1.96,2.36,1.11,2.28,0.40,
Colora,composite,suspended_sediment,"McLennan, 1993",79.90,0.51,8.28,0.96,2.21,0.06,1.75,4.85,0.66,1.84,0.13,
Columb,composite,suspended_sediment,"McLennan, 1993",64.10,1.00,16.90,1.06,5.28,0.30,2.50,3.30,2.90,2.90,,
Congo,composite,suspended_sediment,"McLennan, 1993",58.00,1.59,25.10,0.47,10.09,0.21,1.09,1.34,0.32,1.64,0.39,
Danube,composite,suspended_sediment,"McLennan, 1993",64.90,0.71,12.10,2.00,5.54,0.08,3.53,6.39,2.38,2.51,0.16,
Gange,composite,suspended_sediment,"McLennan, 1993",66.80,0.97,16.00,0.91,4.51,0.14,2.26,4.07,1.58,2.77,0.14,
Huang,composite,suspended_sediment,"McLennan, 1993",59.40,,17.30,1.01,5.42,0.13,4.00,6.62,1.05,3.25,,
Indus,composite,suspended_sediment,"McLennan, 1993",56.30,0.81,15.40,1.42,5.10,0.14,4.19,12.50,1.48,2.73,0.23,
Macken,composite,suspended_sediment,"McLennan, 1993",67.40,0.77,15.70,1.00,4.22,0.08,0.70,5.35,0.32,4.53,,
Mekong,composite,suspended_sediment,"McLennan, 1993",61.90,0.63,22.30,0.57,7.22,0.13,2.36,0.87,0.74,3.04,0.48,
Mississ.,composite,suspended_sediment,"McLennan, 1993",76.30,0.64,11.50,0.85,2.71,0.07,1.54,2.37,1.36,2.51,0.20,
Niger,composite,suspended_sediment,"McLennan, 1993",51.70,1.44,30.90,0.24,12.45,0.09,1.09,0.48,0.13,1.36,0.39,
Nile,composite,suspended_sediment,"McLennan, 1993",53.00,,18.80,1.93,12.67,,3.12,5.68,1.00,2.32,,
Orinoco,composite,suspended_sediment,"McLennan, 1993",69.50,0.97,17.30,0.81,5.47,0.06,1.28,0.80,1.62,2.22,0.15,
Paran,composite,suspended_sediment,"McLennan, 1993",64.70,1.64,20.90,0.52,6.13,0.04,1.89,0.87,0.94,2.27,0.31,
St._Lawr,composite,suspended_sediment,"McLennan, 1993",60.00,1.44,16.30,1.33,5.86,0.10,4.50,3.57,3.73,3.40,0.06,
Western_Europe,composite,denudation_regions,"McLennan, 1993",61.90,0.93,16.00,1.64,8.20,0.45,2.01,4.71,0.72,2.53,1.13,
Alpine_Europe,composite,denudation_regions,"McLennan, 1993",53.90,0.56,11.60,2.21,4.12,0.14,2.25,21.20,1.18,2.46,0.64,
Central_America,composite,denudation_regions,"McLennan, 1993",62.50,0.90,18.80,0.91,5.95,0.09,2.70,2.86,2.84,2.68,,
Northwest_South_America,composite,denudation_regions,"McLennan, 1993",67.10,0.66,15.70,1.22,5.87,0.12,2.57,1.91,2.03,2.82,0.25,
Ocean_Islands_(excl._N.Z.),composite,denudation_regions,"McLennan, 1993",67.80,0.64,14.40,1.23,4.64,0.09,2.99,2.36,3.53,2.41,0.13,
