sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
YCS-ABD,sample,channel_sediments,Yamuna,"Maharana et al., 2018",79.50,0.82,8.00,0.88,1.95,0.07,0.83,3.30,1.50,1.70,0.12,61.85,76.43,54.14,55.52,65.00,1.14,34.01,63.24,9.94,0.21,9.76
GCS-ABD,sample,channel_sediments,Ganga,"Maharana et al., 2018",82.80,0.34,9.10,0.62,1.53,0.04,1.01,1.20,1.80,2.00,0.09,60.58,75.45,52.95,53.94,63.97,0.77,40.51,69.29,9.10,0.22,26.76
GCSS,sample,channel_sediments,Ganga,"Maharana et al., 2018",83.50,0.13,7.60,0.50,1.08,0.02,0.52,1.10,1.60,1.90,0.04,59.08,74.28,50.93,51.29,61.84,0.76,36.01,51.08,10.99,0.25,58.46
GCSV,sample,channel_sediments,Ganga,"Maharana et al., 2018",80.70,0.41,7.00,1.20,2.52,0.12,0.82,1.90,1.40,1.30,0.14,60.31,75.24,53.79,54.84,65.36,1.02,29.44,66.96,11.53,0.19,17.07
COB,sample,overbank_sediments,Chambal,"Maharana et al., 2018",61.00,0.89,11.69,1.18,3.96,0.07,1.87,7.24,0.89,1.91,0.11,79.97,88.87,70.06,76.67,76.80,1.20,31.63,47.24,5.22,0.16,13.13
BNSOB,sample,overbank_sediments,Banas,"Maharana et al., 2018",79.15,0.51,9.15,0.98,2.36,0.06,0.87,2.68,1.67,1.93,0.08,62.48,76.91,54.68,56.24,65.42,0.95,38.04,67.93,8.65,0.21,17.94
SINMD,sample,overbank_sediments,Sindh,"Maharana et al., 2018",58.00,0.71,13.20,1.08,4.23,0.09,2.03,7.57,0.80,2.30,0.14,83.37,90.93,72.05,80.27,77.62,1.10,34.35,51.58,4.39,0.17,18.59
SINOBO,sample,overbank_sediments,Sindh,"Maharana et al., 2018",55.20,0.75,13.87,1.05,4.66,0.05,2.36,8.19,0.72,1.99,0.07,85.41,92.13,75.41,83.18,80.60,1.09,31.70,46.97,3.98,0.14,18.49
BMD1B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",67.24,0.62,12.15,1.00,3.44,0.08,1.20,3.68,1.07,2.86,0.12,77.53,87.35,64.74,72.00,71.45,0.87,39.93,66.92,5.53,0.24,19.60
BOB2A,sample,overbank_sediments,Betwa,"Maharana et al., 2018",73.20,0.07,9.50,0.53,1.06,0.04,0.46,5.43,1.32,3.96,0.04,68.63,81.39,52.40,54.55,59.53,1.24,50.11,32.00,7.71,0.42,135.71
BOB2B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",66.00,0.87,13.06,0.82,3.63,0.05,1.56,3.28,0.91,2.16,0.11,81.35,89.72,71.01,78.17,77.30,0.74,33.13,63.28,5.05,0.17,15.01
BOB2C,sample,overbank_sediments,Betwa,"Maharana et al., 2018",56.56,1.18,16.19,0.86,6.27,0.05,1.98,3.83,0.53,2.12,0.10,90.28,94.89,80.04,88.85,83.64,0.65,29.57,58.91,3.49,0.13,13.72
BOBO,sample,overbank_sediments,Betwa,"Maharana et al., 2018",62.63,0.99,13.64,1.01,4.83,0.09,1.67,3.82,0.81,2.08,0.12,83.65,91.10,73.50,81.04,79.19,0.77,31.60,58.75,4.59,0.15,13.78
KOBA,sample,overbank_sediments,Ken,"Maharana et al., 2018",64.79,0.95,11.74,1.10,4.20,0.07,1.93,4.58,0.64,1.83,0.12,84.79,91.77,74.18,82.25,79.47,0.95,28.24,53.08,5.52,0.16,12.36
KOBB,sample,overbank_sediments,Ken,"Maharana et al., 2018",68.01,0.63,10.49,1.33,3.96,0.06,1.38,4.99,0.71,2.03,0.07,81.79,89.98,69.82,78.02,75.71,1.06,29.23,57.38,6.48,0.19,16.65
TOB,sample,overbank_sediments,Ton,"Maharana et al., 2018",61.21,1.00,16.58,0.85,6.27,0.11,1.85,1.64,0.59,2.58,0.08,89.52,94.47,77.79,87.66,81.50,0.52,33.81,72.17,3.69,0.16,16.58
SMD1B,sample,overbank_sediments,Son,"Maharana et al., 2018",62.49,1.19,16.69,0.93,6.88,0.13,1.48,1.21,0.67,2.48,0.13,88.33,93.81,77.34,86.40,81.51,0.48,32.86,74.83,3.74,0.15,14.03
SOB2A,sample,overbank_sediments,Son,"Maharana et al., 2018",73.07,1.19,11.53,1.27,4.53,0.09,0.98,1.12,0.94,2.43,0.09,78.85,88.17,66.83,74.21,73.41,0.70,34.17,73.85,6.34,0.21,9.69
SOB2B,sample,overbank_sediments,Son,"Maharana et al., 2018",64.87,1.36,15.60,0.94,6.19,0.15,1.11,0.97,0.66,2.36,0.11,87.78,93.49,76.75,85.73,81.08,0.48,30.71,77.10,4.16,0.15,11.47
YOBAG,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",58.87,0.84,16.67,0.95,5.94,0.09,3.22,2.72,1.08,3.51,0.18,82.43,90.37,69.39,78.36,74.93,0.74,51.13,64.83,3.53,0.21,19.85
YOBABD,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",66.40,0.93,10.51,1.18,3.87,0.08,1.72,5.30,0.71,1.35,0.13,81.82,90.00,73.46,79.48,79.99,1.07,24.39,47.18,6.32,0.13,11.30
GOBABD,sample,overbank_sediments,Ganga,"Maharana et al., 2018",73.87,0.53,12.48,0.74,2.68,0.06,1.93,1.79,1.52,2.66,0.12,71.39,83.31,61.30,65.75,69.88,0.74,45.43,70.53,5.92,0.21,23.55
GOBSA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",67.00,0.75,12.73,0.82,3.60,0.07,1.93,2.45,0.86,2.21,0.10,81.81,90.00,70.91,78.51,76.98,0.71,34.00,65.75,5.26,0.17,16.97
GOBSB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",57.47,0.99,14.95,1.10,6.10,0.10,2.45,4.66,0.68,2.42,0.12,86.98,93.04,75.48,84.64,80.00,0.83,35.14,54.68,3.84,0.16,15.10
GOBSC,sample,overbank_sediments,Ganga,"Maharana et al., 2018",65.08,0.87,14.23,0.93,4.73,0.10,1.61,2.55,0.80,2.41,0.10,84.39,91.53,73.08,81.53,78.38,0.65,34.13,66.76,4.57,0.17,16.36
GOBV,sample,overbank_sediments,Ganga,"Maharana et al., 2018",58.26,0.95,14.69,1.14,5.81,0.10,2.97,4.97,0.88,2.50,0.14,83.54,91.03,72.39,80.54,77.96,0.92,39.56,52.23,3.97,0.17,15.46
GOBP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",60.47,0.87,15.19,1.07,5.76,0.12,2.12,4.04,0.81,2.59,0.13,85.07,91.94,73.53,82.29,78.60,0.76,37.18,59.83,3.98,0.17,17.46
GMDP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",56.00,1.10,18.30,0.95,8.45,0.10,1.93,2.37,0.58,2.73,0.14,90.56,95.04,79.00,88.94,82.40,0.53,35.19,68.04,3.06,0.15,16.64
GOBBA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",70.91,0.57,9.43,0.97,2.45,0.06,2.01,5.17,1.27,2.11,0.13,69.29,81.86,59.34,63.10,68.32,1.29,38.10,57.08,7.52,0.22,16.54
GOBBB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",64.32,0.62,12.13,1.11,3.68,0.06,2.83,5.47,1.12,2.80,0.12,76.70,86.81,64.36,71.18,71.34,1.15,44.49,56.14,5.30,0.23,19.56
CSS12,sample,suspended_sediments,Chambal,"Maharana et al., 2018",51.82,1.00,14.18,1.42,6.98,0.11,2.84,7.44,0.50,2.08,0.12,89.60,94.52,78.44,87.88,82.18,1.09,31.26,42.83,3.65,0.15,14.18
CSS13,sample,suspended_sediments,Chambal,"Maharana et al., 2018",52.27,0.92,12.28,1.54,6.00,0.10,2.51,7.55,0.76,1.91,0.13,83.08,90.76,72.89,80.33,78.73,1.25,31.90,40.37,4.26,0.16,13.35
SINSS12,sample,suspended_sediments,Sindh,"Maharana et al., 2018",57.82,0.74,13.63,1.32,5.35,0.12,2.41,8.27,0.79,1.89,0.14,83.98,91.29,74.58,81.67,80.29,1.14,31.80,44.90,4.24,0.14,18.42
BSS12,sample,suspended_sediments,Betwa,"Maharana et al., 2018",53.84,1.30,17.75,0.96,9.27,0.14,2.33,3.32,0.34,1.58,0.11,94.07,96.95,86.25,93.48,88.66,0.56,23.76,58.68,3.03,0.09,13.65
BSS13,sample,suspended_sediments,Betwa,"Maharana et al., 2018",51.60,1.12,13.33,1.51,8.20,0.14,2.04,4.46,0.54,1.64,0.12,88.24,93.75,78.96,86.67,83.35,0.86,25.78,47.96,3.87,0.12,11.90
KSS12,sample,suspended_sediments,Ken,"Maharana et al., 2018",55.89,0.45,18.38,1.02,9.50,1.92,0.13,1.51,0.30,1.93,0.15,94.90,97.39,85.66,94.29,87.68,0.39,20.21,77.45,3.04,0.11,40.84
KSS13,sample,suspended_sediments,Ken,"Maharana et al., 2018",51.61,1.37,13.11,1.73,9.40,0.15,2.17,3.77,0.55,1.57,0.14,87.87,93.54,78.89,86.31,83.43,0.86,25.65,47.62,3.94,0.12,9.57
TSS12,sample,suspended_sediments,Ton,"Maharana et al., 2018",51.70,0.99,18.43,0.87,9.50,0.13,2.09,1.36,0.34,2.73,0.16,94.28,97.05,81.90,93.26,83.98,0.46,32.87,75.90,2.81,0.15,18.62
SSS13,sample,suspended_sediments,Son,"Maharana et al., 2018",46.46,1.12,21.23,0.58,11.78,0.11,1.05,0.78,0.33,2.07,0.15,95.13,97.51,86.45,94.59,88.41,0.28,24.28,81.30,2.19,0.10,18.96
YSSAG13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",59.61,0.75,15.75,0.94,5.52,0.10,2.50,2.02,1.08,3.39,0.15,81.59,89.86,68.56,77.27,74.31,0.68,48.13,68.97,3.78,0.22,21.00
YSSABD13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",51.08,0.97,13.50,1.50,7.15,0.12,2.59,6.42,0.62,2.08,0.13,86.87,92.98,75.88,84.65,80.49,1.06,31.95,44.09,3.78,0.15,13.92
GSSABD12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",58.33,0.67,16.54,1.07,6.62,0.10,3.01,1.56,1.13,3.85,0.15,81.65,89.90,67.72,76.89,73.29,0.69,54.02,71.09,3.53,0.23,24.69
GSSABD13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",59.04,0.70,16.77,1.16,6.86,0.11,2.92,2.58,1.05,3.78,0.15,82.92,90.66,68.97,78.59,74.24,0.73,52.25,66.85,3.52,0.23,23.96
GSSACY12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",49.90,0.95,14.34,1.63,7.87,0.13,2.97,7.61,0.59,2.27,0.14,88.08,93.66,76.53,85.96,80.71,1.13,34.27,41.90,3.48,0.16,15.09
GSSVIN13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",50.23,0.89,14.19,1.44,7.87,0.13,2.77,4.76,0.57,2.57,0.16,88.33,93.80,75.29,85.88,79.23,0.93,36.03,51.48,3.54,0.18,15.94
GSSB12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",54.61,0.84,15.99,1.25,7.58,0.09,2.37,3.74,0.75,3.16,0.14,86.63,92.84,73.09,83.59,77.45,0.76,42.01,60.79,3.42,0.20,19.04
GSSB13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",54.55,0.77,15.56,1.20,6.20,0.10,3.06,6.20,0.69,3.25,0.13,87.27,93.20,72.89,84.14,76.98,0.98,43.99,53.89,3.51,0.21,20.21
S-1,sample,Silty_clay,Meghna,"Hossain, 2019",68.61,0.72,13.55,1.04,4.64,0.17,1.48,2.01,1.19,2.28,0.15,77.58,87.38,67.98,73.89,75.38,0.66,37.16,68.68,5.06,0.17,18.82
S-2,sample,Silty_clay,Meghna,"Hossain, 2019",70.35,0.69,13.34,0.99,4.31,0.10,1.42,1.60,1.27,2.22,0.14,76.15,86.46,66.96,72.36,74.81,0.62,37.41,70.69,5.27,0.17,19.33
S-3,sample,Sand,Meghna,"Hossain, 2019",75.20,0.54,11.25,0.92,2.99,0.08,1.21,1.87,1.55,2.02,0.12,68.81,81.52,60.69,63.99,70.37,0.73,38.35,69.79,6.68,0.18,20.83
S-4,sample,Silty_clay,Meghna,"Hossain, 2019",67.53,0.79,13.86,1.12,5.04,0.12,1.85,1.96,1.38,2.39,0.15,75.32,85.93,66.04,71.29,74.05,0.69,41.30,67.10,4.87,0.17,17.54
S-5,sample,Silty_clay,Meghna,"Hossain, 2019",66.72,0.84,13.75,1.26,5.59,0.12,2.12,1.80,1.39,2.47,0.14,75.04,85.74,65.49,70.78,73.49,0.73,42.84,66.38,4.85,0.18,16.37
S-6,sample,Sand,Meghna,"Hossain, 2019",76.97,0.47,10.65,0.82,2.45,0.05,1.19,1.96,1.64,1.96,0.10,66.37,79.79,58.62,61.25,68.84,0.76,38.83,69.70,7.23,0.18,22.66
S-7,sample,Sand,Meghna,"Hossain, 2019",77.67,0.42,10.32,0.76,2.19,0.05,1.10,1.95,1.72,1.94,0.10,64.58,78.48,57.08,59.23,67.67,0.77,39.33,69.76,7.53,0.19,24.57
S-8,sample,Silty_clay,Meghna,"Hossain, 2019",71.22,0.80,13.79,0.97,4.22,0.06,1.83,1.57,1.41,2.51,0.11,74.83,85.60,65.21,70.47,73.25,0.66,42.61,70.10,5.16,0.18,17.24
S-9,sample,Sand,Meghna,"Hossain, 2019",78.63,0.51,9.55,0.86,2.33,0.05,1.03,2.03,1.47,1.74,0.12,66.38,79.79,58.70,61.32,68.94,0.81,34.56,68.99,8.23,0.18,18.73
S-10,sample,Silty_clay,Meghna,"Hossain, 2019",68.78,0.84,14.02,0.98,4.54,0.07,1.87,1.55,1.40,2.51,0.11,75.27,85.89,65.69,71.05,73.63,0.66,42.61,69.75,4.91,0.18,16.69
S-11,sample,Silty_clay,Meghna,"Hossain, 2019",63.12,0.84,15.99,1.00,6.14,0.13,1.98,1.54,1.20,2.64,0.15,80.20,89.01,70.14,76.88,76.79,0.58,41.71,70.37,3.95,0.17,19.04
S-12,sample,Sand,Meghna,"Hossain, 2019",75.27,0.58,10.92,0.96,2.93,0.06,1.37,2.32,1.70,1.93,0.13,66.13,79.61,58.70,61.22,69.09,0.82,39.76,67.00,6.89,0.18,18.83
S-13,sample,Silty_clay,Meghna,"Hossain, 2019",65.90,0.84,14.44,1.20,5.64,0.12,2.23,1.88,1.50,2.60,0.14,74.53,85.41,65.08,70.20,73.22,0.72,45.52,66.41,4.56,0.18,17.19
S-14,sample,Silty_clay,Meghna,"Hossain, 2019",64.69,0.83,15.00,1.12,5.77,0.13,2.15,1.81,1.41,2.62,0.15,76.38,86.61,66.74,72.39,74.42,0.67,44.43,67.59,4.31,0.17,18.07
S-15,sample,Silty_clay,Meghna,"Hossain, 2019",63.93,0.83,15.57,1.04,5.80,0.11,2.11,1.89,1.36,2.68,0.15,77.68,87.44,67.86,73.90,75.19,0.64,44.25,67.99,4.11,0.17,18.76
S-16,sample,Sand,Meghna,"Hossain, 2019",74.39,0.70,11.17,1.05,3.29,0.08,1.42,2.49,1.71,1.92,0.16,66.50,79.88,59.18,61.77,69.55,0.84,39.93,64.91,6.66,0.17,15.96
S-17,sample,Silty_clay,Meghna,"Hossain, 2019",58.50,0.81,16.47,1.03,6.22,0.10,2.84,2.97,0.97,3.56,0.13,83.77,91.17,70.04,79.81,75.14,0.75,49.24,64.80,3.55,0.22,20.33
