sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
Trachyte,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",61.21,0.70,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,56.81,65.33,48.12,47.29,54.10,1.04,100.75,68.92,3.61,0.29,24.23
Syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",58.58,0.84,16.64,3.04,3.13,0.13,1.87,3.53,5.24,4.95,0.29,53.99,65.87,45.99,44.31,54.35,1.18,103.30,63.04,3.52,0.30,19.81
Nepheline_syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",53.56,0.73,20.22,3.45,2.41,0.20,0.76,2.37,8.43,5.68,0.24,54.28,59.32,46.59,45.24,50.25,1.07,132.49,67.80,2.65,0.28,27.70
Phonolite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",56.77,0.59,19.76,2.48,1.63,0.18,0.51,2.32,8.41,5.25,0.16,54.46,58.82,47.08,46.00,50.31,1.00,127.30,62.73,2.87,0.27,33.49
NASC,composite,shale_composite,shale,"McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984",64.80,0.70,16.90,1.06,5.48,0.06,2.86,3.63,1.14,3.97,0.13,81.84,90.01,67.74,77.06,73.25,0.79,54.74,65.65,3.83,0.23,24.14
PAAS,composite,shale_composite,shale,"Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 2009; Nance and Taylor, 1976; McLennan, 1981, 1989",62.80,1.00,18.90,0.87,6.61,0.11,2.20,1.30,1.20,3.70,0.16,82.72,90.54,70.38,79.05,75.97,0.55,51.32,73.81,3.32,0.20,18.90
shale,composite,shale_composite,shale,"Mason, 1982",58.40,0.77,15.10,1.23,6.23,0.11,2.50,3.10,1.30,3.20,0.16,77.93,87.59,66.11,73.12,72.94,0.81,49.05,62.58,3.87,0.21,19.61
Amazon,composite,river_sediment,suspended_sediment,"McLennan, 1993",60.20,1.23,22.90,0.52,7.14,0.14,1.96,2.36,1.11,2.28,0.40,86.25,92.61,78.91,84.84,84.21,0.42,37.56,68.54,2.63,0.10,18.62
Colora,composite,river_sediment,suspended_sediment,"McLennan, 1993",79.90,0.51,8.28,0.96,2.21,0.06,1.75,4.85,0.66,1.84,0.13,79.22,88.41,66.54,74.33,72.90,1.28,28.06,58.11,9.65,0.22,16.24
Columb,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.10,1.00,16.90,1.06,5.28,0.30,2.50,3.30,2.90,2.90,,63.91,77.99,57.13,59.05,68.12,0.83,64.94,61.94,3.79,0.17,16.90
Congo,composite,river_sediment,suspended_sediment,"McLennan, 1993",58.00,1.59,25.10,0.47,10.09,0.21,1.09,1.34,0.32,1.64,0.39,95.97,97.95,89.87,95.68,91.60,0.27,20.62,78.72,2.31,0.07,15.79
Danube,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.90,0.71,12.10,2.00,5.54,0.08,3.53,6.39,2.38,2.51,0.16,60.71,75.55,53.43,54.51,64.59,1.45,58.48,46.34,5.36,0.21,17.04
Gange,composite,river_sediment,suspended_sediment,"McLennan, 1993",66.80,0.97,16.00,0.91,4.51,0.14,2.26,4.07,1.58,2.77,0.14,75.48,86.02,66.12,71.44,74.08,0.79,47.96,61.33,4.18,0.17,16.49
Huang,composite,river_sediment,suspended_sediment,"McLennan, 1993",59.40,,17.30,1.01,5.42,0.13,4.00,6.62,1.05,3.25,,83.35,90.92,71.27,79.96,76.73,,50.73,,3.43,0.19,
Indus,composite,river_sediment,suspended_sediment,"McLennan, 1993",56.30,0.81,15.40,1.42,5.10,0.14,4.19,12.50,1.48,2.73,0.23,75.98,86.35,66.31,71.88,74.07,1.51,51.79,40.15,3.66,0.18,19.01
Macken,composite,river_sediment,suspended_sediment,"McLennan, 1993",67.40,0.77,15.70,1.00,4.22,0.08,0.70,5.35,0.32,4.53,,93.72,96.76,72.50,91.11,74.30,0.81,44.09,72.51,4.29,0.29,20.39
Mekong,composite,river_sediment,suspended_sediment,"McLennan, 1993",61.90,0.63,22.30,0.57,7.22,0.13,2.36,0.87,0.74,3.04,0.48,90.16,94.82,79.57,88.65,83.18,0.37,40.85,77.51,2.78,0.14,35.40
Mississ.,composite,river_sediment,suspended_sediment,"McLennan, 1993",76.30,0.64,11.50,0.85,2.71,0.07,1.54,2.37,1.36,2.51,0.20,71.99,83.71,61.52,66.25,69.89,0.81,41.24,68.64,6.63,0.22,17.97
Niger,composite,river_sediment,suspended_sediment,"McLennan, 1993",51.70,1.44,30.90,0.24,12.45,0.09,1.09,0.48,0.13,1.36,0.39,98.63,99.31,94.21,98.57,94.83,0.16,16.05,87.95,1.67,0.04,21.46
Nile,composite,river_sediment,suspended_sediment,"McLennan, 1993",53.00,,18.80,1.93,12.67,,3.12,5.68,1.00,2.32,,85.11,91.95,76.42,83.20,81.89,,39.83,,2.82,0.12,
Orinoco,composite,river_sediment,suspended_sediment,"McLennan, 1993",69.50,0.97,17.30,0.81,5.47,0.06,1.28,0.80,1.62,2.22,0.15,76.45,86.65,69.11,73.65,77.34,0.45,41.05,75.34,4.02,0.13,17.84
Paran,composite,river_sediment,suspended_sediment,"McLennan, 1993",64.70,1.64,20.90,0.52,6.13,0.04,1.89,0.87,0.94,2.27,0.31,87.11,93.11,79.02,85.64,83.92,0.39,35.32,76.36,3.10,0.11,12.74
