River/Tributary,Sample ID,Latitude,Longitude,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,SUM,L.O.I.,L.O.I. AT 110,Ba,Cr,V,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Tributary,YRS-143Y,30.590513,78.008863,1.35,1.05,10.21,76.56,0.06,2.09,0.48,0.56,0.07,4.18,96.61,9.72,5.13,491,47,66,16.760,33.917,3.533,19.837,2.537,0.404,2.058,0.270,1.600,0.372,0.970,0.168,0.895,0.124
Tributary,YRS-143X,30.572962,78.00479,0.82,0.69,9.34,79.94,0.05,2.15,0.58,0.39,0.04,3.01,97.01,9.72,5.13,525,38,45,7.768,17.126,1.879,10.991,1.571,0.377,1.360,0.207,1.288,0.303,0.777,0.133,0.724,0.101
Tributary,YRS-139Y,30.540759,77.952397,0.74,1.87,13.88,65.99,0.08,3.39,0.75,0.58,0.07,5.48,92.83,11.77,6.08,515,66,86,24.566,52.713,5.685,33.142,4.318,0.700,2.971,0.377,1.997,0.428,1.147,0.187,0.949,0.133
Tributary,YRS-139A,30.521421,77.953759,0.8,1.19,14.54,66.54,0.15,3.53,0.61,0.8,0.07,4.91,93.14,11.39,5.1,756,60,99,25.815,54.203,5.846,35.259,4.254,1.019,3.136,0.388,2.069,0.458,1.185,0.190,1.063,0.155
Tributary,YRS-138A,30.518362,77.942086,2.21,1.59,12.17,67.43,0.07,2.3,1.71,0.57,0.09,5.07,93.21,10.33,5.48,501,59,86,3.107,7.867,0.955,6.583,0.905,0.213,0.985,0.123,0.734,0.153,0.402,0.068,0.367,0.052
Tributary,YRS-134,30.52516,77.9138,1.44,1.74,13.54,65.72,0.18,3.07,1.11,0.7,0.11,6.12,93.73,10.43,5.28,668,59,88,30.156,60.606,6.624,39.228,5.079,1.053,3.975,0.503,2.701,0.574,1.451,0.244,1.316,0.180
Tributary,YRS-132,30.540681,77.904205,2.17,1.5,12.8,67.71,0.16,2.75,0.85,0.7,0.09,4.99,93.72,9.61,5.19,606,49,85,6.724,14.132,1.760,11.402,1.712,0.495,1.440,0.232,1.451,0.323,0.790,0.135,0.710,0.092
Tributary,YRS-129,30.53673,77.8932,1.12,2.22,11.58,68.86,0.1,2.44,1.59,0.46,0.07,5.03,93.47,13.66,8.36,518,58,63,5.720,12.135,1.587,10.056,1.470,0.246,1.173,0.160,0.897,0.193,0.495,0.083,0.427,0.062
Tributary,YRS-121,30.512942,77.87934,0.79,1.45,8.63,70.44,0.07,1.87,5.3,0.3,0.08,3.06,91.99,14.53,7.05,377,45,42,7.208,16.418,1.769,10.193,1.275,0.228,0.893,0.109,0.537,0.111,0.308,0.050,0.272,0.036
Tributary,YRS-127A,30.526627,77.872946,1.1,1,11.32,76.28,0.1,2.84,0.41,0.48,0.06,3.42,97.01,9.53,4.96,502,37,61,1.318,2.847,0.421,2.702,0.421,0.086,0.317,0.048,0.299,0.072,0.192,0.032,0.200,0.028
Tributary,YRS-122,30.522049,77.859421,1.01,1.43,13.9,65.07,0.09,3.01,1.21,0.56,0.1,5.12,91.5,13.73,7.14,517,69,73,8.019,20.483,2.308,14.729,2.131,0.380,1.606,0.227,1.258,0.278,0.690,0.122,0.654,0.086
Tributary,YRS-122A,30.524434,77.861111,0.98,1.52,14.53,64.63,0.11,3.28,0.54,0.62,0.13,4.35,90.69,13.49,6.1,548,66,79,2.572,6.663,0.922,6.574,1.084,0.243,1.164,0.148,0.904,0.200,0.517,0.093,0.506,0.069
Tributary,YRS-118,30.511931,77.855586,0.67,1.12,7.77,81.86,0.07,1.63,0.7,0.34,0.05,3.42,97.63,7.86,4.15,313,37,47,6.525,16.199,1.852,11.687,1.601,0.317,1.259,0.197,1.331,0.324,0.938,0.164,0.987,0.144
Tributary,YRS-119,30.518599,77.851638,1.61,1.35,12.26,71.22,0.09,2.72,1.06,0.57,0.08,4.44,95.4,8,3.72,510,62,73,3.959,11.378,1.251,8.842,1.060,0.230,1.366,0.118,0.571,0.113,0.283,0.044,0.247,0.033
Tributary,YRS-117,30.509161,77.847961,1,1.02,9.6,78.07,0.06,1.95,0.78,0.44,0.06,3.97,96.95,10.31,5.63,409,53,62,10.401,22.401,2.545,14.823,1.819,0.318,1.386,0.207,1.248,0.294,0.750,0.135,0.748,0.104
Tributary,YRS-112,30.485348,77.734844,1.4,1.35,11.18,74.88,0.09,2.31,0.39,0.47,0.11,4.51,96.69,10.52,5.52,516,50,69,24.927,52.431,5.616,32.745,4.199,0.737,3.174,0.420,2.216,0.487,1.285,0.212,1.122,0.163
Tributary,YRS-111,30.460833,77.686711,1.13,3.22,7.71,68.63,0.08,1.56,4.87,0.32,0.05,3.06,90.63,13.52,5.77,468,61,48,6.472,14.163,1.697,10.042,1.305,0.240,0.946,0.125,0.686,0.160,0.409,0.064,0.385,0.056
Tributary,YRS-157,30.491515,78.132275,1.95,1.59,10.07,73.89,0.08,1.89,1.49,0.45,0.08,4.38,95.87,7.68,3.65,418,43,70,42.770,87.239,8.663,48.621,5.620,0.804,5.005,0.684,4.060,0.938,2.351,0.388,2.025,0.291
