sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CIW*),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),SiO2/Al2O3,K2O/Al2O3,K2O/Na2O,Al2O3/TiO2,Ba,Cr,V,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,?REE,LREE,HREE,LREE/HREE,La/Lu,Ce/Ce*,Eu/Eu*,Gd/Gd*,LaN/YbN,GdN/YbN
YRS-154A,57.17,0.56,15.9,1.03,5.86,0.04,2.33,3.5,0.24,4.25,0.06,95.27,0.98,97.58,74.68,93.47,76.09,0.75,45.28,3.60,0.27,17.71,28.39,453,83,79,41.988,94.8,9.081,53.52,6.321,1.024,4.607,0.503,1.964,0.32,0.81,0.116,0.59,0.075,215.72,211.34,4.38,48.27,58.12,16.96,0.58,1.01,48.09,6.33
YRS-151,64.68,0.52,11.62,1.58,5.72,0.07,3.48,2.43,1.32,2.14,0.07,72.79,0.84,84.25,63.57,68.17,72.14,0.99,42.98,5.57,0.18,1.62,22.35,364,77,95,3.68,9.027,0.989,6.36,0.987,0.235,0.817,0.117,0.696,0.158,0.367,0.061,0.325,0.041,23.86,22.10,1.77,12.52,9.32,3.91,0.80,0.97,7.65,2.04
YRS-149A,64.14,0.59,15.59,1.04,6.29,0.06,1.51,0.26,0.64,3.31,0.09,88.10,0.94,93.67,73.27,85.08,77.08,0.48,39.65,4.11,0.21,5.17,26.42,596,78,100,9.939,23.675,2.983,17.963,2.456,0.472,1.669,0.24,1.362,0.305,0.828,0.139,0.797,0.122,62.95,59.16,3.79,15.60,8.46,7.64,0.71,0.87,8.43,1.70
YRS-146,65.91,0.59,14.01,0.99,4.87,0.08,1.87,0.96,0.92,2.93,0.09,82.23,0.90,90.25,69.33,78.17,74.94,0.60,40.64,4.70,0.21,3.18,23.75,510,71,89,31.642,64.487,6.909,40.829,5.143,0.912,4.044,0.565,3.164,0.721,1.766,0.28,1.501,0.212,162.18,153.97,8.21,18.76,15.49,12.72,0.61,0.95,14.25,2.18
YRS-145,64.87,0.58,14.52,1.14,5.67,0.07,1.81,0.84,1.18,3.09,0.14,78.90,0.88,88.21,66.77,74.22,73.31,0.60,44.83,4.47,0.21,2.62,25.03,467,83,83,30.529,63.553,6.661,39.659,4.933,0.869,3.856,0.477,2.376,0.486,1.276,0.202,1.122,0.157,156.16,150.06,6.10,24.62,20.19,12.68,0.61,1.00,18.39,2.79
YRS-144B,72.54,0.6,9.19,1.67,4.29,0.09,2.1,2.56,1.72,1.64,0.12,61.89,0.76,76.46,55.28,56.71,66.62,1.13,39.54,7.89,0.18,0.95,15.32,399,127,75,2.346,7.045,0.851,5.529,0.794,0.194,1.124,0.104,0.524,0.106,0.276,0.04,0.279,0.039,19.25,17.88,1.37,13.07,6.24,3.92,0.63,1.57,5.68,3.27
YRS-144,74.27,0.5,8.67,1.18,3.01,0.06,2.08,2.12,1.62,1.57,0.09,61.93,0.76,76.49,55.22,56.67,66.52,1.05,37.74,8.57,0.18,0.97,17.34,395,63,63,72.392,150.092,15.821,90.753,11.117,1.082,8.98,1.292,7.072,1.654,4.357,0.728,3.919,0.541,369.80,350.24,19.56,17.90,13.89,22.46,0.33,0.95,12.48,1.86
YRS-143Y,76.56,0.56,10.21,1.1,3.34,0.07,1.05,0.48,1.35,2.09,0.06,69.68,0.82,82.13,60.36,64.15,69.49,0.66,36.20,7.50,0.20,1.55,18.23,491,47,66,16.76,33.917,3.533,19.837,2.537,0.404,2.058,0.27,1.6,0.372,0.97,0.168,0.895,0.124,83.45,79.05,4.40,17.97,14.03,8.18,0.54,1.00,12.65,1.86
YRS-143X,79.94,0.39,9.34,0.83,2.35,0.04,0.69,0.58,0.82,2.15,0.05,77.59,0.87,87.38,65.02,72.22,71.76,0.59,29.61,8.56,0.23,2.62,23.95,525,38,45,7.768,17.126,1.879,10.991,1.571,0.377,1.36,0.207,1.288,0.303,0.777,0.133,0.724,0.101,44.61,41.07,3.53,11.63,7.98,5.59,0.79,0.96,7.25,1.52
YRS-139Y,65.99,0.58,13.88,1.04,4.97,0.07,1.87,0.75,0.74,3.39,0.08,85.08,0.92,91.94,69.45,80.75,73.96,0.61,42.47,4.75,0.24,4.58,23.93,515,66,86,24.566,52.713,5.685,33.142,4.318,0.7,2.971,0.377,1.997,0.428,1.147,0.187,0.949,0.133,129.31,124.10,5.22,23.78,19.18,11.54,0.60,0.92,17.49,2.54
YRS-139A,66.54,0.8,14.54,0.88,4.48,0.07,1.19,0.61,0.8,3.53,0.15,84.67,0.92,91.70,69.26,80.29,73.89,0.54,42.48,4.58,0.24,4.41,18.18,756,60,99,25.815,54.203,5.846,35.259,4.254,1.019,3.136,0.388,2.069,0.458,1.185,0.19,1.063,0.155,135.04,129.53,5.51,23.52,17.29,11.58,0.85,0.97,16.41,2.39
