sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
Gange,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",66.8,0.97,16,0.91,4.51,0.14,2.26,4.07,1.58,2.77,0.14,
Huang,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",59.4,,17.3,1.01,5.42,0.13,4,6.62,1.05,3.25,,
Indus,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",56.3,0.81,15.4,1.42,5.1,0.14,4.19,12.5,1.48,2.73,0.23,
Macken,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",67.4,0.77,15.7,1,4.22,0.08,0.7,5.35,0.32,4.53,,
Mekong,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",61.9,0.63,22.3,0.57,7.22,0.13,2.36,0.87,0.74,3.04,0.48,
Mississ.,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",76.3,0.64,11.5,0.85,2.71,0.07,1.54,2.37,1.36,2.51,0.2,
Niger,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",51.7,1.44,30.9,0.24,12.45,0.09,1.09,0.48,0.13,1.36,0.39,
Nile,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",53,,18.8,1.93,12.67,,3.12,5.68,1,2.32,,
Orinoco,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",69.5,0.97,17.3,0.81,5.47,0.06,1.28,0.8,1.62,2.22,0.15,
Paran,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",64.7,1.64,20.9,0.52,6.13,0.04,1.89,0.87,0.94,2.27,0.31,
St._Lawr,composite,suspended_sediment,suspended_sediment,"McLennan, 1993",60,1.44,16.3,1.33,5.86,0.1,4.5,3.57,3.73,3.4,0.06,
Western_Europe,composite,denudation_regions,denudation_regions,"McLennan, 1993",61.9,0.93,16,1.64,8.2,0.45,2.01,4.71,0.72,2.53,1.13,
Alpine_Europe,composite,denudation_regions,denudation_regions,"McLennan, 1993",53.9,0.56,11.6,2.21,4.12,0.14,2.25,21.2,1.18,2.46,0.64,
Central_America,composite,denudation_regions,denudation_regions,"McLennan, 1993",62.5,0.9,18.8,0.91,5.95,0.09,2.7,2.86,2.84,2.68,,
Northwest_South_America,composite,denudation_regions,denudation_regions,"McLennan, 1993",67.1,0.66,15.7,1.22,5.87,0.12,2.57,1.91,2.03,2.82,0.25,
Ocean_Islands_(excl._N.Z.),composite,denudation_regions,denudation_regions,"McLennan, 1993",67.8,0.64,14.4,1.23,4.64,0.09,2.99,2.36,3.53,2.41,0.13,
New_Zealand_(S._Island),composite,denudation_regions,denudation_regions,"McLennan, 1993",62.6,0.67,18.9,0.76,4.75,0.07,2.38,3.38,2.49,3.52,0.21,
U.S._Atlantic_Coast,composite,denudation_regions,denudation_regions,"McLennan, 1993",61.2,0.9,17.9,0.9,5.77,0.2,3.12,3.12,1.54,3.42,0.21,
MBG1,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",50.27,15.22,4.26,0.01,0.06,2.17,12.76,1.01,2.2,0.5,0.44,
MBG2,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",50.67,14,5.88,0.01,0.06,3,11.15,3.51,2.99,0.75,0.49,
MBG3,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",52.42,13.4,4.41,0.01,0.04,2.67,13.55,2.05,1.48,0.74,0.24,
MBG4,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",52.84,15.54,4.42,0.01,0.06,1.89,13.39,1.32,1.35,0.61,0.12,
MBG5,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",48.65,14.59,3.16,0.01,0.07,1.7,22.63,1.14,1.12,0.57,0.09,
MBG6,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",56.47,15.44,5.08,0.01,0.03,2.42,6.49,3.01,1.79,0.72,0.19,
MBG7,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",54.8,14.17,3.77,0.01,0.03,2.15,7.5,2.23,1.6,0.77,0.19,
MBG8,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",54.78,13.63,3.29,0.01,0.04,2.28,9.73,2.7,1.44,0.69,0.29,
MBG9,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",51.31,13.87,2.38,0.01,0.04,1.35,20.74,1.14,1.71,0.32,0.11,
MBG10,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",52.25,16.55,3.32,0.01,0.04,2.03,17.45,1.61,1.17,0.55,0.17,
MBG11,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",49.85,12.39,4.02,0.01,0.04,2.72,14.04,1.86,1.56,0.68,0.21,
MBG12,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",48.05,15.69,4.99,0.01,0.05,2.46,14.93,1.22,1.74,0.64,0.14,
MBG13,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",50.01,15.81,4.56,0.01,0.05,2.23,15.55,1.21,1.47,0.65,0.14,
MBG14,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",50.38,14.7,2.92,0.01,0.04,1.48,14.27,2.01,1.84,0.41,0.14,
MBG15,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",48.58,14.47,2.83,0.01,0.04,1.53,13.17,1.01,1.84,0.42,0.16,
MBG16,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",50.41,14.31,2.36,0.01,0.03,1.58,14.65,1.05,1.74,0.38,0.13,
MBG17,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",48.66,14.3,2.42,0.01,0.04,1.68,14.33,1.12,1.76,0.38,0.3,
MBG18,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",47.4,16.23,4.75,0.02,0.13,3.03,13.33,2.41,1.61,0.69,0.29,
MBG19,sample,lake_bottom,Manasbal_Lake,"Lone et al., 2017",58.93,14.99,6.23,0.02,0.08,2.39,4.97,3.23,1.55,0.96,0.16,
