sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
Indus,composite,river_sediment,suspended_sediment,"McLennan, 1993",75.98,86.35,66.31,71.88,74.07,1.51,51.79,40.15
Macken,composite,river_sediment,suspended_sediment,"McLennan, 1993",93.72,96.76,72.5,91.11,74.3,0.81,44.09,72.51
Mekong,composite,river_sediment,suspended_sediment,"McLennan, 1993",90.16,94.82,79.57,88.65,83.18,0.37,40.85,77.51
Mississ.,composite,river_sediment,suspended_sediment,"McLennan, 1993",71.99,83.71,61.52,66.25,69.89,0.81,41.24,68.64
Niger,composite,river_sediment,suspended_sediment,"McLennan, 1993",98.63,99.31,94.21,98.57,94.83,0.16,16.05,87.95
Nile,composite,river_sediment,suspended_sediment,"McLennan, 1993",85.11,91.95,76.42,83.2,81.89,,39.83,
Orinoco,composite,river_sediment,suspended_sediment,"McLennan, 1993",76.45,86.65,69.11,73.65,77.34,0.45,41.05,75.34
Paran,composite,river_sediment,suspended_sediment,"McLennan, 1993",87.11,93.11,79.02,85.64,83.92,0.39,35.32,76.36
St._Lawr,composite,river_sediment,suspended_sediment,"McLennan, 1993",57.05,72.65,50.54,50.7,62.41,1.11,84.27,52.72
Western_Europe,composite,region,denudation,"McLennan, 1993",87.1,93.11,75.8,84.84,80.31,0.81,35.33,56.58
Alpine_Europe,composite,region,denudation,"McLennan, 1993",74.92,85.66,63.93,69.71,71.59,2.59,40.69,36.04
Central_America,composite,region,denudation,"McLennan, 1993",66.8,80.1,60.56,62.98,71.28,0.69,62.93,63.85
Northwest_South_America,composite,region,denudation,"McLennan, 1993",70.15,82.46,61.73,65.44,71.07,0.72,54.43,67.58
Ocean_Islands_(excl._N.Z.),composite,region,denudation,"McLennan, 1993",55.35,71.26,50.31,50.38,63.11,0.92,69.39,63.27
New_Zealand_(S._Island),composite,region,denudation,"McLennan, 1993",69.76,82.19,61.16,64.81,70.51,0.7,65.15,67.39
U.S._Atlantic_Coast,composite,region,denudation,"McLennan, 1993",77.94,87.6,67.12,73.7,74.16,0.74,55.4,64
MBG1,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",37.05,54.07,35.38,33.94,50.59,7.95,64.78,31.67
MBG2,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",37.41,54.45,35.57,34,50.64,6.02,71.57,31.95
MBG3,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",47.52,64.43,43.75,42.57,57.68,7.69,60.7,30.79
MBG4,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",49.88,66.56,46.42,45.84,60.54,7.72,57.65,31.39
MBG5,sample,Manasbal_Lake,lake_bottom,"Lone et al., 2017",46.16,63.17,42.35,40.83,56.23,13.22,80.13,24.49
