sample_id,sample_name,latitude,longitude,loc_prec,qgis_geom,datum,depth,material,rock_name,protolith,sample_description,density,comments,qap_name,sia_scheme,frost_class1,frost_class2,frost_class3,quartz,feldspar,lithics,facies,texture,p_velocity,density_model,heat_production,heat_production_mass,ref_id,iso_id,comp_id,major_id,trace_id,rgroup_id,age_id,method_id,country_id,age_min,age,age_max,age_sd,time_period_min,time_period,time_period_max,age_method,mg_number,fe_number,mali,asi,maficity,cia,wip,spar,qtzindex,r1,r2,rock_type,rb87_sr86,rb87_sr87,sr87_sr86,nd143_nd144,sm147_nd144,lu176_hf177,hf176_hf177,re187_os186,re187_os188,os187_os188,pb206_pb204,pb207_pb204,pb208_pb204,th232_pb204,th232_u238,u238_pb204,epsilon_hf,epsilon_nd,epsilon_sr,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3_tot,feo,feo_tot,mgo,cao,mno,nio,k2o,na2o,sro,p2o5,h2o_plus,h2o_minus,h2o_tot,co2,so3,bao,caco3,mgco3,loi,f_ppm,cl_ppm,br_ppm,i_ppm,h_ppm,c_ppm,n_ppm,p_ppm,s_ppm,al_ppm,as_ppm,ag_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,ca_ppm,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,er_ppm,eu_ppm,fe_ppm,ga_ppm,gd_ppm,ge_ppm,hf_ppm,hg_ppm,ho_ppm,in_ppm,ir_ppm,k_ppm,la_ppm,li_ppm,lu_ppm,mg_ppm,mn_ppm,mo_ppm,na_ppm,nd_ppm,ni_ppm,nb_ppm,os_ppm,pa_ppm,pb_ppm,pd_ppm,pm_ppm,pr_ppm,pt_ppm,rb_ppm,re_ppm,rh_ppm,ru_ppm,sb_ppm,sc_ppm,se_ppm,si_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,te_ppm,th_ppm,ti_ppm,tl_ppm,tm_ppm,w_ppm,v_ppm,u_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,rock_group,rock_origin,rock_facies,country,method,author,title,journal,year,doi,bibtex,data_source
1012780,25239,,,100,,unknown,,,sand,,,,,,,,,,92.33487226,6.524979944,1.140147797,,,5.987847397,2660.852241,0.68327058,0.000256786,14951,81475,253226,626397,498714,88,43713,1,8,,,,,triassic,,triassic,,0.478841502,0.695348682,2.180988983,2.395781342,0.027987326,70.55169638,24.83322,-0.004442567,0.407781814,4.949783837,0.252134535,quartzite,,,,,,,,,,,,,,,,,,,,83.34,0.32,9.33,,,1.04,,,0.41,0.39,0.01,,1.55,0.96,,0.03,,,,,,,,,2.8,,,,,,,,,,,,,,,395,,,,,,,60,,1,,,,,12,,,,,,,,,,,,,,,,,3,5,,,13,,,,,68,,,,,4,,,,,58,,,,6,,,,,29,0.6,14,,25,141,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1012855,a41,,,100,,unknown,,,sand,,,,,,,,,,86.91246268,9.179064615,3.908472701,,,6.177364434,2674.408142,1.720460541,0.000643305,14951,81475,257588,560678,567888,88,43320,1,8,,,,,,,,,0.481907619,0.692740348,4.187606574,1.104800768,0.057350432,52.48956504,60.30145787,-0.000189941,0.261595853,3.352412577,0.486257177,arkose,,,,,,,,,,,,,,,,,,,,72.39,0.37,11.55,,,2.23,,,0.89,1.8,,,4.08,1.71,,0.02,,,,,,,,,4.7,,,,,,,,,,,,,,,696,,,,,,,36,,4,,,,,9,,,,,,,,,,,,,,,,,9,7,,,10,,,,,148,,,,,5,,,,,617,,,,11,,,,,39,2.5,19,,31,150,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1012912,25324,,,100,,unknown,,,sand,,,,,,,,,,87.26982397,10.02984562,2.700330412,,,6.141595587,2692.047315,2.068434611,0.00076835,14951,81475,109585,553210,419404,88,43713,1,8,,,,,triassic,,triassic,,0.338344112,0.80396194,4.187899012,1.171982749,0.050857733,53.95911866,56.49589622,-0.16993862,0.240321232,3.078692247,0.440250837,wacke,,,,,,,,,,,,,,,,,,,,71.8,0.43,12.49,,,2.37,,,0.52,1.35,0.03,,0.62,4.68,,0.07,,,,,,,,,5.67,,,,,,,,,,,,,,,149,,,,,,,21,,4,,,,,10,,,,,,,,,,,,,,,,,5,14,,,25,,,,,28,,,,,5,,,,,46,,,,17,,,,,26,3.3,28,,50,231,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1012923,25293,,,100,,unknown,,,sand,,,,,,,,,,69.3833329,9.18184889,21.43481821,,,7.009892622,2787.323672,0.970421445,0.000348155,14951,81475,164035,451164,381603,88,43429,1,8,,,,,,phanerozoic,,,0.40575189,0.754381005,-17.65661619,0.403781328,0.058110762,28.7638338,47.81909738,-0.3135712,0.255552004,4.245572791,2.188328249,iron-rich shale,,,,,,,,,,,,,,,,,,,,63.03,0.44,12.52,,,2.56,,,0.75,17.13,0.27,,0.04,0.02,,0.09,,,,,,,,,3.32,,,,,,,,,,,,,,,62,,,,,,,49,,1,,,,,19,,,,,,,,,,,,,,,,,11,6,,,13,,,,,1,,,,,13,,,,,91,,,,5,,,,,43,2.3,27,,53,169,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1012968,25238,,,100,,unknown,,,sand,,,,,,,,,,89.96487099,7.503781778,2.531347233,,,6.081505653,2678.326122,1.257386871,0.000469467,14951,81475,191726,622583,457487,88,43713,1,8,,,,,triassic,,triassic,,0.431722872,0.734072928,2.927762994,1.185451357,0.044344204,54.24286169,43.25587231,-0.114937504,0.31554819,3.941382232,0.369983952,litharenite,,,,,,,,,,,,,,,,,,,,79.24,0.48,10.06,,,1.81,,,0.59,1.26,0.02,,0.78,3.34,,0.06,,,,,,,,,2.31,,,,,,,,,,,,,,,257,,,,,,,51,,1,,,,,9,,,,,,,,,,,,,,,,,7,10,,,21,,,,,34,,,,,6,,,,,226,,,,10,,,,,44,2,20,,41,179,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1013005,25272,,,100,,unknown,,,sand,,,,,,,,,,87.70748496,10.06175664,2.230758397,,,6.102211739,2684.875774,1.592766779,0.000593237,14951,81475,199551,598102,500251,88,43657,1,8,,,,,permian,,permian,,0.438228603,0.728873612,3.736907177,1.844603388,0.058625919,64.84571437,43.32753606,-0.047644128,0.306651691,3.771302423,0.379850684,wacke,,,,,,,,,,,,,,,,,,,,75.28,0.51,13.11,,,2.42,,,0.81,0.66,0.02,,1.93,2.35,,0.02,,,,,,,,,3.13,,,,,,,,,,,,,,,400,,,,,,,43,,13,,,,,14,,,,,,,,,,,,,,,,,9,10,,,19,,,,,103,,,,,7,,,,,132,,,,12,,,,,49,2.4,30,,51,179,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1013070,25232,,,100,,unknown,,,sand,,,,,,,,,,83.46283858,12.86885382,3.668307604,,,6.215427756,2681.773036,2.171417406,0.000809695,14951,81475,243462,511678,540583,88,43713,1,8,,,,,triassic,,triassic,,0.472102636,0.70104236,4.524074084,1.584118432,0.066444407,61.30208323,59.79713753,-0.052975953,0.226839101,2.899290895,0.541925393,wacke,,,,,,,,,,,,,,,,,,,,68.44,0.56,16.26,,,2.58,,,0.99,1.43,0.04,,2.98,2.8,,0.07,,,,,,,,,3.84,,,,,,,,,,,,,,,552,,,,,,,35,,4,,,,,21,,,,,,,,,,,,,,,,,7,13,,,23,,,,,134,,,,,10,,,,,228,,,,14,,,,,70,3.8,23,,74,180,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1013227,25313,,,100,,unknown,,,conglomerate,,cgl,,,,,,,,97.91003488,1.490597601,0.599367522,,,5.866883924,,,0.000650684,14951,81475,9702,631965,430340,88,43429,1,8,,,,,,phanerozoic,,,0.036800838,0.982107173,,,0.016611986,,,,,,0.098307226,quartzite,,,,,,,,,,,,,,,,,,,,95.2,0.69,2.07,,,0.61,,,0.01,0.53,0.03,,0.66,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,176,,,,,,,11,,1,,,,,2,,,,,,,,,,,,,,,,,1,6,,,7,,,,,21,,,,,2,,,,,8,,,,15,,,,,17,2.6,20,,9,653,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1013361,25237,,,100,,unknown,,,silt,,,,,,,,,,81.70278261,15.63451416,2.662703223,,,6.200143377,2710.331715,3.090845049,0.001140394,14951,81475,165720,471893,555154,88,43713,1,8,,,,,triassic,,triassic,,0.407450997,0.753073825,4.797096357,2.748038602,0.09062867,73.31937831,49.78205919,0.024574143,0.25063543,3.039064488,0.490182749,shale,,,,,,,,,,,,,,,,,,,,64.84,0.78,18.61,,,3.83,,,1.13,0.4,0.03,,3.53,1.41,,0.04,,,,,,,,,5.34,,,,,,,,,,,,,,,623,,,,,,,57,,19,,,,,24,,,,,,,,,,,,,,,,,28,15,,,26,,,,,188,,,,,11,,,,,107,,,,21,,,,,86,5.2,38,,111,221,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
1013938,91286486,-71.51,67.75,100,0101000020e61000000000000000f05040713d0ad7a3e051c0,unknown,,,ironstone,,banded ironstone,,,,,,,,63.78625676,17.84458263,18.36916061,,,6.871964706,2913.385986,,,14951,81475,131320,300965,157397,88,43447,1,8,,,,,,proterozoic,,,0.368856078,0.782056024,-7.108232814,0.811215904,0.27097772,44.78847068,57.04832728,-0.220645877,0.163735337,2.322918459,1.52898274,iron-rich shale,,,,,,,,,,,,,,,,,,,,52.54,1.64,16.54,,2.58,13.16,9.52,,3.3,9.53,0.2,,0.48,2.04,,0.34,,,,,,,,,1.38,,,,,,,,,40,,,2,,,106,3,0,,,47,,64,0,10,,,,,24,,2.5,6,,,,,,20,7,,,1785,,,26,44,12,,,3,,,9,,10,,,,,36,,,,0,400,0,,,0,,,,,203,0,37,,113,209,sedimentary,clastic,,aq,,"champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).",,,,,,ozchem
